Year	DOY	Hour	Min	 Dectime	Tsfc_Paved	Tsfc_Bldgs	Tsfc_EveTr	Tsfc_DecTr	Tsfc_Grass	Tsfc_BSoil	Tsfc_Water	QN_Paved	QN_Bldgs	QN_EveTr	QN_DecTr	QN_Grass	QN_BSoil	QN_Water	QS_Paved	QS_Bldgs	QS_EveTr	QS_DecTr	QS_Grass	QS_BSoil	QS_Water	QE0_Paved	QE0_Bldgs	QE0_EveTr	QE0_DecTr	QE0_Grass	QE0_BSoil	QE0_Water	QE_Paved	QE_Bldgs	QE_EveTr	QE_DecTr	QE_Grass	QE_BSoil	QE_Water	QH_Paved	QH_Bldgs	QH_EveTr	QH_DecTr	QH_Grass	QH_BSoil	QH_Water	wu_Paved	wu_Bldgs	wu_EveTr	wu_DecTr	wu_Grass	wu_BSoil	wu_Water	ev0_Paved	ev0_Bldgs	ev0_EveTr	ev0_DecTr	ev0_Grass	ev0_BSoil	ev0_Water	ev_Paved	ev_Bldgs	ev_EveTr	ev_DecTr	ev_Grass	ev_BSoil	ev_Water	drain_Paved	drain_Bldgs	drain_EveTr	drain_DecTr	drain_Grass	drain_BSoil	drain_Water	st_Paved_prev	st_Bldgs_prev	st_EveTr_prev	st_DecTr_prev	st_Grass_prev	st_BSoil_prev	st_Water_prev	st_Paved_next	st_Bldgs_next	st_EveTr_next	st_DecTr_next	st_Grass_next	st_BSoil_next	st_Water_next	ss_Paved_prev	ss_Bldgs_prev	ss_EveTr_prev	ss_DecTr_prev	ss_Grass_prev	ss_BSoil_prev	ss_Water_prev	ss_Paved_next	ss_Bldgs_next	ss_EveTr_next	ss_DecTr_next	ss_Grass_next	ss_BSoil_next	ss_Water_next	      RS	      RA	      RB	  RAsnow	RSS_Paved	RSS_Bldgs	RSS_EveTr	RSS_DecTr	RSS_Grass	RSS_BSoil	RSS_Water	    vsmd	     dsp	    G_sm	   x_exp	 g_kdown	    g_dq	    g_ta	   g_smd	   g_lai	 vpd_hPa	 lv_J_kg	  avdens	    avcp	   s_hPa	psyc_hPa	    iter	FAIBldg_use	FAIEveTree_use	FAIDecTree_use	     FAI	   dqndt
2010	  1	   1	  0	  0.0417	   12.0011	   12.1047	   12.7764	   12.2463	   12.6273	   12.8836	   12.8568	-27.8987	-26.7241	-28.7797	-28.7797	-27.3114	-27.6051	-27.8987	 -9.8392	 -9.8392	 -9.8392	 -9.8392	 -9.8392	 -9.8392	 -9.8392	  10.4390	  10.4870	   1.1215	   6.8899	   4.2137	   1.1312	   1.1288	 10.4390	 10.4870	  1.1215	  6.8899	  4.2137	  1.1312	  1.1288	123.8690	124.9958	132.3055	126.5372	130.6817	133.4705	133.1792	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0013	   0.0013	   0.0001	   0.0008	   0.0005	   0.0001	   0.0001	  0.0013	  0.0013	  0.0001	  0.0008	  0.0005	  0.0001	  0.0001	     0.0020	     0.0020	     0.0000	     0.0002	     0.0002	     0.0000	     0.0000	       0.1063	       0.1057	       0.0000	       0.1107	       0.1171	       0.0000	       0.0000	       0.1241	       0.1233	       0.0000	       0.1305	       0.1399	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	1873.4719	1875.5833	9999.9999	2439.5622	3461.4663	9999.9999	9999.9999	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9929	  0.4308	  0.9962	  0.1730	  0.0888	2499017.5985	  1.2853	1008.5406	  0.4612	  0.6554	142.0000	     1.5730	        0.0184	        0.0216	  1.5946	-10.9204
2010	  1	   2	  0	  0.0833	    8.5927	    8.7434	   10.8034	    8.8889	    9.5402	   10.9105	   10.8837	-27.9872	-26.8088	-28.8710	-28.8710	-27.3980	-27.6926	-27.9872	 -8.4967	 -8.4967	 -8.4967	 -8.4967	 -8.4967	 -8.4967	 -8.4967	  25.9528	  25.4873	   0.9463	  21.8369	  16.2031	   0.9561	   0.9536	 25.9528	 25.4873	  0.9463	 21.8369	 16.2031	  0.9561	  0.9536	 87.0612	 88.7051	111.1838	 90.2932	 97.4001	112.3525	112.0603	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0031	   0.0031	   0.0001	   0.0026	   0.0019	   0.0001	   0.0001	  0.0031	  0.0031	  0.0001	  0.0026	  0.0019	  0.0001	  0.0001	     0.0299	     0.0272	     0.0000	     0.0013	     0.0026	     0.0000	     0.0000	       0.3224	       0.3130	       0.0000	       0.4537	       0.6549	       0.0000	       0.0000	       0.3357	       0.3253	       0.0000	       0.4922	       0.7321	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	 179.8476	 189.8610	9999.9999	 277.1354	 503.3974	9999.9999	9999.9999	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9924	  0.4308	  0.9962	  0.1730	  0.0944	2499030.3104	  1.2853	1008.5376	  0.4612	  0.6553	132.0000	     1.5730	        0.0184	        0.0216	  1.5946	 -6.5650
2010	  1	   3	  0	  0.1250	    8.4186	    8.5952	   10.0223	    7.3953	    7.5818	   10.1304	   10.1033	-28.2498	-27.0603	-29.1419	-29.1419	-27.6551	-27.9524	-28.2498	 -7.8438	 -7.8438	 -7.8438	 -7.8438	 -7.8438	 -7.8438	 -7.8438	  19.2692	  18.5314	   0.8784	  29.5430	  28.9947	   0.8883	   0.8858	 19.2692	 18.5314	  0.8784	 29.5430	 28.9947	  0.8883	  0.8858	 85.1607	 87.0880	102.6594	 73.9948	 76.0299	103.8390	103.5441	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0023	   0.0022	   0.0001	   0.0035	   0.0035	   0.0001	   0.0001	  0.0023	  0.0022	  0.0001	  0.0035	  0.0035	  0.0001	  0.0001	     0.0156	     0.0134	     0.0000	     0.0023	     0.0088	     0.0000	     0.0000	       0.2532	       0.2403	       0.0000	       0.6667	       1.2908	       0.0000	       0.0000	       0.2372	       0.2246	       0.0000	       0.6608	       1.2991	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	 286.3821	 312.5283	9999.9999	  99.4523	 109.0909	9999.9999	9999.9999	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9911	  0.4308	  0.9962	  0.1730	  0.1108	2499065.1350	  1.2853	1008.5286	  0.4612	  0.6553	132.0000	     1.5730	        0.0184	        0.0216	  1.5946	 -3.9953
2010	  1	   4	  0	  0.1667	    8.6900	    8.8469	    9.5906	    7.3181	    7.3114	    9.6999	    9.6726	-28.5626	-27.3599	-29.4645	-29.4645	-27.9612	-28.2619	-28.5626	 -7.5688	 -7.5688	 -7.5688	 -7.5688	 -7.5688	 -7.5688	 -7.5688	  11.5724	  11.0624	   0.8430	  25.6405	  27.2168	   0.8529	   0.8504	 11.5724	 11.0624	  0.8430	 25.6405	 27.2168	  0.8529	  0.8504	 88.1210	 89.8336	 97.9484	 73.1510	 73.0779	 99.1411	 98.8430	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0014	   0.0013	   0.0001	   0.0031	   0.0033	   0.0001	   0.0001	  0.0014	  0.0013	  0.0001	  0.0031	  0.0033	  0.0001	  0.0001	     0.0032	     0.0026	     0.0000	     0.0019	     0.0083	     0.0000	     0.0000	       0.1547	       0.1455	       0.0000	       0.6015	       1.2602	       0.0000	       0.0000	       0.1505	       0.1415	       0.0000	       0.5964	       1.2528	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	 551.1947	 595.3700	9999.9999	 131.2939	 116.3872	9999.9999	9999.9999	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9896	  0.4308	  0.9962	  0.1730	  0.1305	2499106.8181	  1.2853	1008.5179	  0.4612	  0.6553	132.0000	     1.5730	        0.0184	        0.0216	  1.5946	 -2.4967
2010	  1	   5	  0	  0.2083	    9.5642	    9.7185	   10.2839	    8.0572	    8.0059	   10.3960	   10.3680	-29.2952	-28.0617	-30.2203	-30.2203	-28.6785	-28.9868	-29.2952	 -7.7869	 -7.7869	 -7.7869	 -7.7869	 -7.7869	 -7.7869	 -7.7869	   9.6931	   9.2422	   0.9152	  25.2111	  27.3129	   0.9254	   0.9228	  9.6931	  9.2422	  0.9152	 25.2111	 27.3129	  0.9254	  0.9228	 97.6574	 99.3417	105.5101	 81.2142	 80.6543	106.7334	106.4276	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0012	   0.0011	   0.0001	   0.0030	   0.0033	   0.0001	   0.0001	  0.0012	  0.0011	  0.0001	  0.0030	  0.0033	  0.0001	  0.0001	     0.0014	     0.0011	     0.0000	     0.0017	     0.0069	     0.0000	     0.0000	       0.1169	       0.1096	       0.0000	       0.5435	       1.1639	       0.0000	       0.0000	       0.1146	       0.1073	       0.0000	       0.5388	       1.1556	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	 768.3774	 827.1851	9999.9999	 165.8239	 142.0822	9999.9999	9999.9999	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9859	  0.4308	  0.9962	  0.1730	  0.1767	2499205.6751	  1.2853	1008.4927	  0.4612	  0.6553	132.0000	     1.5730	        0.0184	        0.0216	  1.5946	 -1.6675
2010	  1	   6	  0	  0.2500	   13.9439	   14.1151	   14.7730	   11.8772	   11.7165	   14.8900	   14.8608	-30.4697	-29.1868	-31.4319	-31.4319	-29.8282	-30.1490	-30.4697	 -8.4568	 -8.4568	 -8.4568	 -8.4568	 -8.4568	 -8.4568	 -8.4568	  11.3086	  10.7301	   1.3343	  32.8101	  36.1603	   1.3449	   1.3423	 11.3086	 10.7301	  1.3343	 32.8101	 36.1603	  1.3449	  1.3423	144.9435	146.8050	153.9557	122.4798	120.7333	155.2280	154.9099	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0014	   0.0013	   0.0002	   0.0039	   0.0043	   0.0002	   0.0002	  0.0014	  0.0013	  0.0002	  0.0039	  0.0043	  0.0002	  0.0002	     0.0007	     0.0005	     0.0000	     0.0014	     0.0056	     0.0000	     0.0000	       0.0920	       0.0859	       0.0000	       0.4850	       1.0609	       0.0000	       0.0000	       0.0901	       0.0841	       0.0000	       0.4796	       1.0518	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	9999.9999	120.0000	 10.3088	  0.0000	1000.7093	1075.8100	9999.9999	 208.9183	 174.5990	9999.9999	9999.9999	  0.0000	111.2000	  0.0500	 -5.5600	  0.0000	  0.9799	  0.4308	  0.9962	  0.1730	  0.2515	2499363.5980	  1.2853	1008.4520	  0.4612	  0.6552	143.0000	     1.5730	        0.0184	        0.0216	  1.5946	 -1.3338
2010	  1	   7	  0	  0.2917	   24.4628	   24.6597	   25.5654	   21.2560	   20.7356	   25.6707	   25.6563	-29.3896	-28.1137	-30.3787	-30.4216	-28.9019	-29.2316	-29.3896	 -7.6232	 -7.6232	 -7.6232	 -7.6232	 -7.6232	 -7.6232	 -7.6232	  14.0272	  13.1692	   1.0901	  47.7419	  54.8999	   1.0958	   1.0944	 14.0272	 13.1692	  1.0901	 47.7419	 54.8999	  1.0958	  1.0944	258.5071	260.6411	270.4552	223.7604	218.1222	271.5966	271.4400	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0017	   0.0016	   0.0001	   0.0057	   0.0066	   0.0001	   0.0001	  0.0017	  0.0016	  0.0001	  0.0057	  0.0066	  0.0001	  0.0001	     0.0003	     0.0002	     0.0000	     0.0011	     0.0044	     0.0000	     0.0000	       0.0689	       0.0640	       0.0000	       0.4129	       0.9443	       0.0000	       0.0000	       0.0670	       0.0622	       0.0000	       0.4061	       0.9337	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	110307.7981	120.0000	 10.3088	  0.0000	1479.8700	1599.7479	110307.7981	 285.7561	 224.5462	110307.7981	110307.7981	  0.0000	111.2000	  0.0500	 -5.5600	  0.0132	  0.9755	  0.4308	  0.9962	  0.1730	  0.3063	2499481.0794	  1.2853	1008.4223	  0.4612	  0.6552	159.0000	     1.5730	        0.0184	        0.0216	  1.5946	 -0.9945
2010	  1	   8	  0	  0.3333	   30.7305	   30.8682	   31.6832	   27.4002	   26.3991	   31.6480	   31.7586	 -9.2033	 -8.4190	-10.1242	-10.5677	-10.3634	-10.6704	 -9.2033	  6.9089	  6.9089	  6.9089	  6.9089	  6.9089	  6.9089	  6.9089	  13.3777	  12.5142	   0.8729	  52.8026	  65.5209	   0.8709	   0.8749	 13.3777	 12.5142	  0.8729	 52.8026	 65.5209	  0.8709	  0.8749	371.7950	373.4429	383.3789	331.0057	318.4917	382.8347	384.2978	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0016	   0.0015	   0.0001	   0.0063	   0.0079	   0.0001	   0.0001	  0.0016	  0.0015	  0.0001	  0.0063	  0.0079	  0.0001	  0.0001	     0.0001	     0.0000	     0.0000	     0.0008	     0.0033	     0.0000	     0.0000	       0.0472	       0.0438	       0.0000	       0.3271	       0.8125	       0.0000	       0.0000	       0.0456	       0.0423	       0.0000	       0.3199	       0.8014	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	40959.6431	106.0628	  9.1560	  0.0000	1977.4148	2131.0855	40959.6431	 364.1976	 259.3474	40959.6431	40959.6431	  0.0000	111.2000	  0.0500	 -5.5600	  0.1219	  0.9865	  0.4308	  0.9962	  0.1730	  0.1687	2499188.6471	  1.2853	1008.4971	  0.4612	  0.6553	166.0000	     1.5730	        0.0184	        0.0216	  1.5946	  2.3721
2010	  1	   9	  0	  0.3750	   27.7820	   27.8046	   28.2873	   25.3558	   24.0846	   27.9605	   28.3479	 39.4152	 39.1044	 38.5177	 37.0103	 33.9837	 33.6845	 39.4152	 42.8099	 42.8099	 42.8099	 42.8099	 42.8099	 42.8099	 42.8099	  10.5973	   9.9519	   2.2599	  43.9015	  59.5782	   2.2323	   2.2649	 10.5973	  9.9519	  2.2599	 43.9015	 59.5782	  2.2323	  2.2649	395.9674	396.3019	403.4072	360.2582	341.5549	398.6017	404.2997	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0013	   0.0012	   0.0003	   0.0053	   0.0072	   0.0003	   0.0003	  0.0013	  0.0012	  0.0003	  0.0053	  0.0072	  0.0003	  0.0003	     0.0000	     0.0000	     0.0000	     0.0006	     0.0024	     0.0000	     0.0000	       0.0295	       0.0272	       0.0000	       0.2472	       0.6861	       0.0000	       0.0000	       0.0282	       0.0260	       0.0000	       0.2413	       0.6765	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	11556.1282	 88.3242	  7.4393	  0.0000	2325.5480	2483.6343	11556.1282	 441.1566	 280.2223	11556.1282	11556.1282	  0.0000	111.2000	  0.0500	 -5.5600	  0.3366	  0.9883	  0.4404	  0.9962	  0.1730	  0.1459	2498496.7270	  1.2840	1008.5821	  0.4693	  0.6555	156.0000	     1.5730	        0.0184	        0.0216	  1.5946	 13.2103
2010	  1	  10	  0	  0.4167	   24.4190	   24.3713	   24.6421	   22.6222	   21.2514	   24.1130	   24.6997	 86.6755	 85.3679	 85.6931	 83.0757	 76.8608	 76.5333	 86.6755	 77.5773	 77.5773	 77.5773	 77.5773	 77.5773	 77.5773	 77.5773	   7.6292	   7.1650	   2.9321	  34.3629	  51.4715	   2.8653	   2.9392	  7.6292	  7.1650	  2.9321	 34.3629	 51.4715	  2.8653	  2.9392	389.0509	388.2075	392.7657	358.7175	335.3939	383.6726	393.7410	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0009	   0.0009	   0.0004	   0.0041	   0.0062	   0.0003	   0.0004	  0.0009	  0.0009	  0.0004	  0.0041	  0.0062	  0.0003	  0.0004	     0.0000	     0.0000	     0.0000	     0.0004	     0.0018	     0.0000	     0.0000	       0.0165	       0.0149	       0.0000	       0.1853	       0.5810	       0.0000	       0.0000	       0.0156	       0.0141	       0.0000	       0.1808	       0.5730	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	7884.0150	 76.7501	  6.8811	  0.0000	2922.9859	3110.6772	7884.0150	 538.0472	 307.7062	7884.0150	7884.0150	  0.0000	111.2000	  0.0500	 -5.5600	  0.4793	  0.9699	  0.4599	  0.9962	  0.1730	  0.3762	2497660.7389	  1.2814	1008.6087	  0.4862	  0.6558	156.0000	     1.5730	        0.0184	        0.0216	  1.5946	 23.2868
2010	  1	  11	  0	  0.4583	   25.1718	   24.9932	   25.2228	   23.5522	   21.7579	   24.1999	   25.2817	193.5231	189.9049	192.4395	187.3765	173.9933	173.6321	193.5231	155.0705	155.0705	155.0705	155.0705	155.0705	155.0705	155.0705	   6.4757	   6.1070	   4.4473	  29.8834	  49.1924	   4.2610	   4.4580	  6.4757	  6.1070	  4.4473	 29.8834	 49.1924	  4.2610	  4.4580	423.0789	419.8294	424.0236	393.5245	360.8323	405.4025	425.0966	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0008	   0.0007	   0.0005	   0.0036	   0.0059	   0.0005	   0.0005	  0.0008	  0.0007	  0.0005	  0.0036	  0.0059	  0.0005	  0.0005	     0.0000	     0.0000	     0.0000	     0.0003	     0.0014	     0.0000	     0.0000	       0.0064	       0.0054	       0.0000	       0.1347	       0.4887	       0.0000	       0.0000	       0.0056	       0.0046	       0.0000	       0.1308	       0.4814	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	     150.0000	       0.0000	5447.0206	 70.9617	  6.6916	  0.0000	3712.4964	3910.1444	5447.0206	 693.8488	 355.6279	5447.0206	5447.0206	  0.0000	111.2000	  0.0500	 -5.5600	  0.6733	  0.9471	  0.4788	  0.9962	  0.1730	  0.6612	2496946.3512	  1.2788	1008.6083	  0.5033	  0.6559	156.0000	     1.5730	        0.0184	        0.0216	  1.5946	 42.6617
2010	  1	  12	  0	  0.5000	   27.7451	   27.5068	   27.4227	   22.3180	   19.9619	   26.0932	   27.4899	246.8997	242.1669	245.7024	239.3731	222.3810	221.9819	246.8997	194.6804	194.6804	194.6804	194.6804	194.6804	194.6804	194.6804	   5.5787	   5.4825	   5.5234	  16.6902	  41.2394	   5.2494	   5.5372	  1.0395	  0.5073	  5.5234	 89.1901	113.7393	  5.2494	  5.5372	444.7960	440.5955	439.1149	349.1189	307.5776	415.6684	440.2983	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0007	   0.0007	   0.0007	   0.0020	   0.0050	   0.0006	   0.0007	  0.0001	  0.0001	  0.0007	  0.0107	  0.0137	  0.0006	  0.0007	     0.0000	     0.0000	     0.0000	     0.0001	     0.0010	     0.0000	     0.0000	       0.0002	       0.0001	       0.0000	       0.0556	       0.3664	       0.0000	       0.0000	       0.0001	       0.0000	       0.0000	       0.0464	       0.3518	       0.0000	       0.0000	     150.0000	     150.0000	     150.0000	     149.9993	     150.0000	     150.0000	       0.0000	     150.0000	     150.0000	     150.0000	     149.9977	     150.0000	     150.0000	       0.0000	4911.5915	 72.8635	  6.7457	  0.0000	4873.7940	4911.5915	4911.5915	2067.5489	 520.6276	4911.5915	4911.5915	  0.0006	111.2000	  0.0500	 -5.5600	  0.7376	  0.9198	  0.4977	  0.9962	  0.1730	  1.0012	2496317.1232	  1.2694	1008.6043	  0.5212	  0.6526	156.0000	     1.5730	        0.0184	        0.0216	  1.5946	 55.0998
2010	  1	  13	  0	  0.5417	   27.9487	   27.7046	   27.5596	   22.3694	   20.4310	   26.3308	   27.6256	233.9273	229.4942	232.7117	226.6579	210.5225	210.1173	233.9273	182.9503	182.9503	182.9503	182.9503	182.9503	182.9503	182.9503	   5.8728	   5.8191	   5.8580	   5.7848	  24.7896	   5.5846	   5.8728	  0.0000	  0.0000	  5.8580	 94.1632	113.1680	  5.5846	  5.8728	446.4790	442.0460	439.4054	345.0464	309.9062	417.0844	440.6062	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0007	   0.0007	   0.0007	   0.0007	   0.0030	   0.0007	   0.0007	  0.0000	  0.0000	  0.0007	  0.0113	  0.0136	  0.0007	  0.0007	     0.0000	     0.0000	     0.0000	     0.0000	     0.0004	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.1868	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.1728	       0.0000	       0.0000	     149.9999	     149.9999	     150.0000	     149.9209	     149.9971	     150.0000	       0.0000	     149.9998	     149.9998	     150.0000	     149.9102	     149.9961	     150.0000	       0.0000	4777.4569	 70.1477	  6.6783	  0.0000	4777.4569	4777.4569	4777.4569	4777.4569	1021.3178	4777.4569	4777.4569	  0.0717	111.2000	  0.0500	 -5.5564	  0.7252	  0.9090	  0.5267	  0.9961	  0.1730	  1.1794	2494572.5416	  1.2597	1008.7923	  0.5506	  0.6502	156.0000	     1.5730	        0.0184	        0.0216	  1.5946	 45.5151
2010	  1	  14	  0	  0.5833	   25.4433	   25.2963	   25.1474	   21.3045	   20.5260	   24.3430	   25.2030	166.6476	163.6662	165.5011	160.9909	149.3715	148.9894	166.6476	129.5010	129.5010	129.5010	129.5010	129.5010	129.5010	129.5010	   4.8904	   4.8594	   4.8787	   4.8321	   8.8958	   4.7080	   4.8904	  0.0000	  0.0000	  4.8787	 78.5471	 82.6108	  4.7080	  4.8904	440.3172	437.3359	434.2920	356.1135	340.4304	417.9510	435.4269	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0006	   0.0006	   0.0006	   0.0006	   0.0011	   0.0006	   0.0006	  0.0000	  0.0000	  0.0006	  0.0095	  0.0099	  0.0006	  0.0006	     0.0000	     0.0000	     0.0000	     0.0000	     0.0001	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0398	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0316	       0.0000	       0.0000	     149.9993	     149.9994	     150.0000	     149.8023	     149.9822	     150.0000	       0.0000	     149.9992	     149.9993	     150.0000	     149.7939	     149.9799	     150.0000	       0.0000	5245.3539	 62.2995	  6.5640	  0.0000	5245.3539	5245.3539	5245.3539	5245.3539	3325.5099	5245.3539	5245.3539	  0.1803	111.2000	  0.0500	 -5.5510	  0.6397	  0.9127	  0.5433	  0.9961	  0.1730	  1.0865	2493160.0847	  1.2574	1009.0055	  0.5681	  0.6507	156.0000	     1.5730	        0.0184	        0.0216	  1.5946	 18.8517
2010	  1	  15	  0	  0.6250	   25.6113	   25.5655	   25.3944	   22.7274	   22.4799	   25.0221	   25.4420	 71.7211	 70.7557	 70.7230	 68.4268	 63.2018	 62.8691	 71.7211	 55.4594	 55.4594	 55.4594	 55.4594	 55.4594	 55.4594	 55.4594	   3.5230	   3.5154	   3.5154	   3.4977	   3.4571	   3.4546	   3.5230	  0.0000	  0.0000	  3.5154	 56.7305	 56.6899	  3.4546	  3.5230	438.2897	437.3243	433.7762	378.2649	373.0805	425.9832	434.7667	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0004	   0.0004	   0.0004	   0.0004	   0.0004	   0.0004	   0.0004	  0.0000	  0.0000	  0.0004	  0.0068	  0.0068	  0.0004	  0.0004	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     149.9981	     149.9984	     150.0000	     149.7197	     149.9473	     150.0000	       0.0000	     149.9980	     149.9983	     150.0000	     149.7144	     149.9455	     150.0000	       0.0000	7335.8837	 61.2480	  6.5526	  0.0000	7335.8837	7335.8837	7335.8837	7335.8837	7335.8837	7335.8837	7335.8837	  0.2583	111.2000	  0.0500	 -5.5471	  0.4408	  0.9351	  0.5624	  0.9961	  0.1730	  0.8025	2491161.8568	  1.2547	1009.3628	  0.5895	  0.6514	156.0000	     1.5730	        0.0184	        0.0216	  1.5946	-14.4805
2010	  1	  16	  0	  0.6667	   26.4621	   26.4939	   26.3542	   25.3711	   25.3615	   26.3016	   26.3990	 -3.1164	 -2.4843	 -4.0104	 -4.5703	 -4.7599	 -5.0579	 -3.1164	 -2.4507	 -2.4507	 -2.4507	 -2.4507	 -2.4507	 -2.4507	 -2.4507	   1.2529	   1.2541	   1.2504	   1.2484	   1.2465	   1.2457	   1.2529	  0.0000	  0.0000	  1.2504	 20.2138	 20.2119	  1.2457	  1.2529	445.2483	445.8805	443.1039	423.5806	423.3930	442.0612	443.9955	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0002	   0.0002	   0.0002	   0.0002	   0.0002	   0.0002	   0.0002	  0.0000	  0.0000	  0.0002	  0.0024	  0.0024	  0.0002	  0.0002	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     149.9965	     149.9970	     150.0000	     149.6785	     149.9466	     150.0000	       0.0000	     149.9964	     149.9969	     150.0000	     149.6776	     149.9483	     150.0000	       0.0000	27129.3685	 64.0146	  6.5732	  0.0000	27129.3685	27129.3685	27129.3685	27129.3685	27129.3685	27129.3685	27129.3685	  0.2956	111.2000	  0.0500	 -5.5452	  0.1484	  0.9604	  0.5489	  0.9961	  0.1730	  0.4892	2491548.4949	  1.2566	1009.3968	  0.5746	  0.6514	156.0000	     1.5730	        0.0184	        0.0216	  1.5946	-39.3281
